ID,Age,Gender,Race,Group,SelfMorality,SelfAbility,SelfSociability,SelfSolvingPuzzlesPred,SelfTeamCollabPred,Teammate,Morality,Ability,Sociability,FirstMeet,Interact,Like,Closeness,Similar,GoodNews,BadNews,LikeMeta,ClosenessMeta,SimilarMeta,SolvingPuzzlesPred,TeamCollabPred,Longest,Frequently,Leader,Influence
04C,32,1,5,4,9.0,5.75,6.75,7,4,04D,5.25,5.0,5.0,5,6,7,3,3,0,0,6,2,0,4,6,04A,04A,04A,04A
04C,32,1,5,4,9.0,5.75,6.75,7,4,04E,5.75,6.5,6.25,4,6,8,3,2,0,1,6,3,1,6,8,04A,04A,04A,04A
17D,21,2,2,17,8.5,7.75,7.5,8,7,17A,7.0,7.25,7.5,6,2,8,8,8,8,8,8,8,8,7,8,17A,17A,17B,17C
17D,21,2,2,17,8.5,7.75,7.5,8,7,17B,9.0,9.25,9.0,6,4,8,7,7,2,2,7,5,6,10,10,17A,17A,17B,17C
17D,21,2,2,17,8.5,7.75,7.5,8,7,17C,6.5,7.75,6.75,6,5,7,6,4,1,1,7,6,6,7,8,17A,17A,17B,17C
17D,21,2,2,17,8.5,7.75,7.5,8,7,17E,7.25,7.75,6.25,6,4,8,6,6,4,4,8,6,6,8,7,17A,17A,17B,17C
13D,26,2,5,13,10.0,8.5,8.0,9,9,13A,9.75,9.25,9.75,6,2,10,9,9,10,8,10,9,8,10,9,13A,13C,13A,13C
13D,26,2,5,13,10.0,8.5,8.0,9,9,13B,9.75,8.5,9.25,6,2,10,9,7,10,9,10,9,8,9,9,13A,13C,13A,13C
13D,26,2,5,13,10.0,8.5,8.0,9,9,13E,10.0,7.75,8.75,6,2,10,9,9,10,9,10,8,9,8,8,13A,13C,13A,13C
13D,26,2,5,13,10.0,8.5,8.0,9,9,13C,10.0,8.75,9.75,6,2,10,10,8,10,9,10,9,8,8,9,13A,13C,13A,13C
13C,25,2,"1,4",13,10.0,6.5,8.75,5,7,13A,10.0,9.75,10.0,6,3,10,8,8,10,10,8,6,6,10,10,13E,13D,13A,13A
13C,25,2,"1,4",13,10.0,6.5,8.75,5,7,13B,10.0,9.0,10.0,6,3,10,7,8,10,10,9,6,6,9,10,13E,13D,13A,13A
13C,25,2,"1,4",13,10.0,6.5,8.75,5,7,13D,10.0,9.25,10.0,6,3,10,8,6,10,7,8,8,6,9,10,13E,13D,13A,13A
13C,25,2,"1,4",13,10.0,6.5,8.75,5,7,13E,10.0,9.25,10.0,6,3,10,6,5,10,6,8,6,6,9,10,13E,13D,13A,13A
13E,25,2,5,13,9.5,9.75,8.0,5,8,13A,9.5,10.0,9.0,6,3,10,10,7,10,10,8,10,7,10,8,13B,13A,13E,13A
13E,25,2,5,13,9.5,9.75,8.0,5,8,13B,10.0,10.0,8.5,6,3,10,10,8,10,10,8,9,8,10,9,13B,13A,13E,13A
13E,25,2,5,13,9.5,9.75,8.0,5,8,13C,9.5,9.75,8.5,6,3,10,10,7,10,10,7,8,7,10,9,13B,13A,13E,13A
13E,25,2,5,13,9.5,9.75,8.0,5,8,13D,10.0,9.5,8.5,6,3,10,10,8,10,10,8,10,8,10,10,13B,13A,13E,13A
21A,22,2,"2,5",21,8.75,7.5,8.75,0,0,21C,6.75,3.25,7.5,4,1,7,7,6,9,9,8,7,6,7,9,21D,21D,21A,21A
21A,22,2,"2,5",21,8.75,7.5,8.75,0,0,21D,8.75,9.75,8.5,5,2,10,9,4,10,10,9,8,6,6,7,21D,21D,21A,21A
21A,22,2,"2,5",21,8.75,7.5,8.75,0,0,21E,9.75,7.0,8.25,2,2,9,7,3,8,8,10,8,3,9,7,21D,21D,21A,21A
21A,22,2,"2,5",21,8.75,7.5,8.75,0,0,21B,6.5,7.75,2.25,4,1,7,9,6,8,8,10,10,8,8,4,21D,21D,21A,21A
23E,26,1,5,23,8.25,6.5,6.75,6,6,23A,7.25,4.25,7.0,5,4,7,7,4,5,3,4,6,4,3,5,23C,23C,23C,23A
23E,26,1,5,23,8.25,6.5,6.75,6,6,23B,5.0,5.0,5.0,6,6,6,1,5,0,0,5,0,3,7,8,23C,23C,23C,23A
23E,26,1,5,23,8.25,6.5,6.75,6,6,23C,7.0,7.75,7.0,6,1,10,10,9,10,10,10,10,9,8,8,23C,23C,23C,23A
23E,26,1,5,23,8.25,6.5,6.75,6,6,23D,5.0,5.0,5.0,1,6,0,0,0,0,0,0,0,0,1,2,23C,23C,23C,23A
23C,25,1,5,23,8.75,7.5,8.0,5,9,23A,7.25,6.25,6.5,6,1,10,10,1,10,10,10,10,4,3,7,23E,23E,23A,23A
23C,25,1,5,23,8.75,7.5,8.0,5,9,23B,8.5,5.75,8.5,6,2,8,8,6,8,4,7,7,7,7,8,23E,23E,23A,23A
23C,25,1,5,23,8.75,7.5,8.0,5,9,23D,9.0,6.5,8.25,5,3,9,8,5,7,5,9,8,4,6,7,23E,23E,23A,23A
23C,25,1,5,23,8.75,7.5,8.0,5,9,23E,8.0,7.25,6.0,6,1,10,10,6,10,10,10,10,5,8,4,23E,23E,23A,23A
23A,25,1,5,23,8.75,4.75,8.25,3,8,23D,7.75,7.0,7.75,6,2,10,9,9,6,6,9,9,7,7,8,23B,23C,23C,23C
23A,25,1,5,23,8.75,4.75,8.25,3,8,23E,7.75,7.75,6.5,4,3,8,6,5,4,2,8,4,6,8,7,23B,23C,23C,23C
23A,25,1,5,23,8.75,4.75,8.25,3,8,23B,9.5,6.5,9.0,6,1,10,10,9,9,8,10,9,9,7,8,23B,23C,23C,23C
23A,25,1,5,23,8.75,4.75,8.25,3,8,23C,8.25,8.5,8.25,6,1,10,9,8,9,6,9,9,7,9,9,23B,23C,23C,23C
23B,25,1,5,23,8.75,7.5,8.0,8,8,23A,7.25,7.5,8.75,6,1,10,10,9,9,6,10,10,9,6,10,23C,23A,23A,23A
23B,25,1,5,23,8.75,7.5,8.0,8,8,23C,6.5,9.25,6.5,6,1,9,8,7,7,5,9,7,8,8,6,23C,23A,23A,23A
23B,25,1,5,23,8.75,7.5,8.0,8,8,23D,7.5,7.0,8.0,6,3,8,6,5,3,3,7,5,4,7,7,23C,23A,23A,23A
23B,25,1,5,23,8.75,7.5,8.0,8,8,23E,5.25,5.5,6.5,2,5,6,3,3,0,0,5,3,3,7,8,23C,23A,23A,23A
23D,25,1,5,23,9.5,5.75,5.75,8,7,23C,9.25,10.0,9.0,6,3,10,8,9,6,0,8,7,9,7,6,23A,23A,23C,23C
23D,25,1,5,23,9.5,5.75,5.75,8,7,23A,7.25,5.0,6.75,6,1,8,10,8,10,0,9,9,9,7,6,23A,23A,23C,23C
23D,25,1,5,23,9.5,5.75,5.75,8,7,23B,9.5,8.0,10.0,6,3,7,5,6,5,0,7,5,6,9,10,23A,23A,23C,23C
23D,25,1,5,23,9.5,5.75,5.75,8,7,23E,5.0,5.0,5.0,4,6,5,5,5,5,5,5,5,5,5,5,23A,23A,23C,23C
21C,22,2,5,21,8.75,7.75,8.0,6,8,21A,9.25,8.75,9.0,5,1,9,8,7,10,10,9,7,6,7,9,21A,21A,21A,21A
21C,22,2,5,21,8.75,7.75,8.0,6,8,21B,8.5,8.75,8.0,4,1,8,5,6,6,6,6,6,6,7,6,21A,21A,21A,21A
21C,22,2,5,21,8.75,7.75,8.0,6,8,21D,5.0,5.0,5.0,2,6,5,5,5,5,5,5,5,5,5,5,21A,21A,21A,21A
21C,22,2,5,21,8.75,7.75,8.0,6,8,21E,5.0,5.0,5.0,2,6,5,5,5,5,5,5,5,5,5,5,21A,21A,21A,21A
17C,21,2,4,17,10.0,8.25,10.0,8,8,17A,9.75,8.75,9.0,6,3,10,8,8,8,4,10,9,9,8,8,17A,17A,17B,17B
17C,21,2,4,17,10.0,8.25,10.0,8,8,17B,9.75,10.0,8.25,6,3,10,8,6,6,5,7,7,5,10,8,17A,17A,17B,17B
17C,21,2,4,17,10.0,8.25,10.0,8,8,17D,9.25,8.25,9.25,6,3,10,8,6,7,0,8,7,5,9,10,17A,17A,17B,17B
17C,21,2,4,17,10.0,8.25,10.0,8,8,17E,8.25,7.75,7.0,6,3,10,6,3,3,0,5,5,2,8,6,17A,17A,17B,17B
17A,21,1,6,17,9.0,8.75,9.25,4,10,17B,9.75,9.25,8.25,6,3,8,7,8,5,0,7,4,8,9,10,17D,17D,17B,17A
17A,21,1,6,17,9.0,8.75,9.25,4,10,17D,10.0,8.5,9.75,6,2,10,10,3,9,4,10,9,10,9,10,17D,17D,17B,17A
17A,21,1,6,17,9.0,8.75,9.25,4,10,17C,8.75,7.75,8.0,6,4,8,7,4,4,1,7,6,7,8,9,17D,17D,17B,17A
17A,21,1,6,17,9.0,8.75,9.25,4,10,17E,6.0,9.25,4.0,6,5,5,2,0,0,0,6,2,8,10,4,17D,17D,17B,17A
17E,22,1,6,17,6.75,6.0,5.25,6,8,17D,7.0,7.25,6.0,6,5,10,5,3,2,2,5,3,0,10,10,17B,17B,17B,17D
17E,22,1,6,17,6.75,6.0,5.25,6,8,17B,8.5,9.5,7.75,6,3,10,8,7,8,8,8,7,6,10,10,17B,17B,17B,17D
17E,22,1,6,17,6.75,6.0,5.25,6,8,17A,7.5,7.5,6.0,6,5,10,4,4,2,2,5,3,3,7,9,17B,17B,17B,17D
17E,22,1,6,17,6.75,6.0,5.25,6,8,17C,7.0,9.25,6.0,6,6,10,2,1,1,1,4,2,0,8,10,17B,17B,17B,17D
17B,21,2,2,17,9.0,7.5,7.25,8,8,17A,7.5,6.5,6.75,6,5,8,6,6,6,4,7,6,6,8,8,17C,17E,17C,17C
17B,21,2,2,17,9.0,7.5,7.25,8,8,17C,9.25,7.75,8.5,6,5,9,7,5,7,4,8,6,5,8,10,17C,17E,17C,17C
17B,21,2,2,17,9.0,7.5,7.25,8,8,17D,8.0,7.25,8.25,6,5,9,7,6,7,4,7,6,6,7,10,17C,17E,17C,17C
17B,21,2,2,17,9.0,7.5,7.25,8,8,17E,8.5,8.0,8.25,6,3,10,9,9,9,9,9,8,8,10,8,17C,17E,17C,17C
27D,23,2,5,27,7.25,7.25,5.75,6,6,27A,7.5,8.0,6.75,4,1,9,9,9,9,9,8,9,7,9,7,27B,27E,27B,27D
27D,23,2,5,27,7.25,7.25,5.75,6,6,27B,8.25,8.75,8.75,4,1,10,10,6,10,10,8,8,4,10,10,27B,27E,27B,27D
27D,23,2,5,27,7.25,7.25,5.75,6,6,27C,4.0,7.25,6.5,4,3,10,8,7,8,4,8,8,7,7,6,27B,27E,27B,27D
27D,23,2,5,27,7.25,7.25,5.75,6,6,27E,8.5,4.0,6.5,4,1,10,10,5,10,10,10,10,6,7,7,27B,27E,27B,27D
27B,20,2,5,27,9.0,8.0,8.75,4,8,27A,9.0,9.0,8.0,4,1,10,10,7,10,9,10,10,9,10,8,27D,27A,27A,27A
27B,20,2,5,27,9.0,8.0,8.75,4,8,27C,7.0,10.0,8.5,4,2,10,10,5,10,9,9,9,7,7,7,27D,27A,27A,27A
27B,20,2,5,27,9.0,8.0,8.75,4,8,27D,9.25,9.5,9.5,4,1,10,10,8,10,10,10,10,9,10,10,27D,27A,27A,27A
27B,20,2,5,27,9.0,8.0,8.75,4,8,27E,8.0,8.0,8.25,3,2,7,6,3,3,1,7,6,3,7,8,27D,27A,27A,27A
27E,26,1,5,27,8.5,6.75,8.5,2,8,27A,7.0,7.5,5.0,2,3,7,3,3,7,1,7,2,3,7,6,27D,27D,27B,27D
27E,26,1,5,27,8.5,6.75,8.5,2,8,27B,10.0,7.5,7.5,2,3,8,4,3,8,1,7,3,4,9,9,27D,27D,27B,27D
27E,26,1,5,27,8.5,6.75,8.5,2,8,27C,5.5,6.25,4.75,3,4,7,1,2,6,0,7,1,7,8,2,27D,27D,27B,27D
27E,26,1,5,27,8.5,6.75,8.5,2,8,27D,10.0,10.0,10.0,4,1,10,10,8,10,10,10,10,7,10,10,27D,27D,27B,27D
25A,20,2,5,25,8.75,7.5,6.0,9,7,25B,8.0,8.5,8.0,4,4,9,6,6,4,2,6,3,4,8,9,25E,25B,25B,25C
25A,20,2,5,25,8.75,7.5,6.0,9,7,25C,9.5,8.0,6.75,4,4,7,4,6,5,2,6,3,6,6,8,25E,25B,25B,25C
25A,20,2,5,25,8.75,7.5,6.0,9,7,25D,8.5,7.5,6.75,4,4,7,2,4,4,2,6,2,4,7,9,25E,25B,25B,25C
25A,20,2,5,25,8.75,7.5,6.0,9,7,25E,6.0,6.75,7.25,4,4,7,4,4,4,1,6,3,3,6,9,25E,25B,25B,25C
25C,21,2,5,25,8.25,6.25,5.75,3,6,25A,6.75,7.25,6.5,4,3,8,6,7,6,4,6,6,6,7,8,25D,25B,25A,25B
25C,21,2,5,25,8.25,6.25,5.75,3,6,25B,8.25,8.5,7.75,4,1,9,9,6,9,9,7,7,7,9,8,25D,25B,25A,25B
25C,21,2,5,25,8.25,6.25,5.75,3,6,25D,9.0,8.0,9.25,4,2,10,10,8,10,10,10,10,8,7,10,25D,25B,25A,25B
25C,21,2,5,25,8.25,6.25,5.75,3,6,25E,8.5,7.75,8.25,4,2,7,7,6,7,6,7,7,6,8,8,25D,25B,25A,25B
25B,20,2,4,25,9.75,8.0,7.75,6,7,25A,8.75,8.25,7.75,4,3,10,3,5,1,1,8,2,3,9,7,25E,25C,25B,25B
25B,20,2,4,25,9.75,8.0,7.75,6,7,25E,8.75,7.75,7.0,4,3,9,7,3,8,9,8,8,3,8,8,25E,25C,25B,25B
25B,20,2,4,25,9.75,8.0,7.75,6,7,25C,9.0,8.5,9.0,4,2,9,7,4,7,7,8,8,7,10,9,25E,25C,25B,25B
25B,20,2,4,25,9.75,8.0,7.75,6,7,25D,9.25,7.75,9.0,4,2,10,7,7,7,7,9,7,5,6,8,25E,25C,25B,25B
11C,18,2,"4,5",11,8.5,5.75,7.0,7,4,11E,7.0,7.5,6.5,6,6,10,3,4,1,0,6,1,1,10,10,11A,11B,11A,11A
11C,18,2,"4,5",11,8.5,5.75,7.0,7,4,11D,7.25,5.75,7.5,6,6,10,2,2,0,0,6,1,1,6,10,11A,11B,11A,11A
11C,18,2,"4,5",11,8.5,5.75,7.0,7,4,11A,9.5,8.5,7.5,6,3,10,9,6,8,2,7,7,5,10,10,11A,11B,11A,11A
11C,18,2,"4,5",11,8.5,5.75,7.0,7,4,11B,7.0,7.0,8.0,5,1,10,10,9,10,10,10,10,9,4,8,11A,11B,11A,11A
30C,27,2,6,30,8.5,5.75,8.0,6,8,30A,9.0,9.0,10.0,6,1,10,10,8,10,10,10,10,10,9,10,30A,30A,30A,30A
30C,27,2,6,30,8.5,5.75,8.0,6,8,30B,6.75,8.5,7.75,6,6,7,3,4,1,1,6,2,8,7,7,30A,30A,30A,30A
30C,27,2,6,30,8.5,5.75,8.0,6,8,30D,5.0,5.0,5.0,1,6,3,0,2,0,0,1,0,2,4,5,30A,30A,30A,30A
30C,27,2,6,30,8.5,5.75,8.0,6,8,30E,8.25,6.25,10.0,2,6,8,1,6,0,0,7,1,1,6,8,30A,30A,30A,30A
11B,18,1,4,11,9.5,7.0,10.0,7,8,11E,5.0,5.0,5.0,4,6,8,5,5,5,5,8,5,5,7,8,11C,11C,11A,11A
11B,18,1,4,11,9.5,7.0,10.0,7,8,11A,9.0,5.0,8.75,4,5,9,7,5,5,5,10,6,5,5,5,11C,11C,11A,11A
11B,18,1,4,11,9.5,7.0,10.0,7,8,11C,10.0,9.0,7.75,5,1,10,10,10,10,10,10,10,10,9,9,11C,11C,11A,11A
11B,18,1,4,11,9.5,7.0,10.0,7,8,11D,5.0,5.0,7.0,4,6,8,5,5,5,5,8,5,5,8,8,11C,11C,11A,11A
11D,36,2,5,11,9.0,6.75,8.5,6,8,11A,8.25,7.0,6.75,6,4,6,3,6,2,4,6,2,6,8,8,11E,11E,11A,11E
11D,36,2,5,11,9.0,6.75,8.5,6,8,11B,5.0,5.0,5.0,4,6,5,5,5,5,5,5,5,5,5,5,11E,11E,11A,11E
11D,36,2,5,11,9.0,6.75,8.5,6,8,11C,6.5,7.75,7.0,6,5,10,3,8,1,1,6,6,6,9,6,11E,11E,11A,11E
11D,36,2,5,11,9.0,6.75,8.5,6,8,11E,8.75,8.0,6.0,6,1,8,8,6,8,8,6,6,2,10,6,11E,11E,11A,11E
30A,28,2,6,30,8.5,9.0,6.5,9,7,30B,9.25,9.0,8.25,5,2,9,8,7,9,7,8,8,8,8,8,30C,30C,30A,30A
30A,28,2,6,30,8.5,9.0,6.5,9,7,30C,9.5,7.25,9.75,6,1,10,10,8,10,10,10,10,8,8,8,30C,30C,30A,30A
30A,28,2,6,30,8.5,9.0,6.5,9,7,30D,5.5,7.0,7.5,5,4,8,6,4,4,3,7,5,5,10,6,30C,30C,30A,30A
30A,28,2,6,30,8.5,9.0,6.5,9,7,30E,9.25,6.0,8.75,3,3,8,7,6,6,6,6,6,6,8,9,30C,30C,30A,30A
30B,26,2,2,30,8.75,6.75,8.0,6,6,30A,8.75,7.0,10.0,5,1,10,10,8,10,10,9,10,8,8,9,30C,30A,30D,30C
30B,26,2,2,30,8.75,6.75,8.0,6,6,30C,9.25,7.5,9.5,6,6,9,5,6,2,2,7,4,5,8,9,30C,30A,30D,30C
30B,26,2,2,30,8.75,6.75,8.0,6,6,30E,8.75,7.0,9.5,4,1,10,9,7,8,8,8,8,8,8,8,30C,30A,30D,30C
30B,26,2,2,30,8.75,6.75,8.0,6,6,30D,5.0,6.25,4.25,4,6,3,3,1,0,0,2,2,1,6,3,30C,30A,30D,30C
30D,28,2,2,30,8.5,7.25,7.5,6,6,30A,9.25,7.0,8.25,5,2,9,6,6,7,6,8,6,7,9,9,30B,30A,30A,30A
30D,28,2,2,30,8.5,7.25,7.5,6,6,30B,7.25,7.0,6.5,5,4,3,2,5,1,1,3,2,6,7,7,30B,30A,30A,30A
30D,28,2,2,30,8.5,7.25,7.5,6,6,30C,5.0,5.0,5.0,1,6,3,0,2,0,0,3,0,2,6,6,30B,30A,30A,30A
30D,28,2,2,30,8.5,7.25,7.5,6,6,30E,8.0,7.5,7.5,5,4,7,3,6,1,1,6,3,5,8,8,30B,30A,30A,30A
27A,20,2,"2,5",27,9.0,9.0,7.0,3,7,27B,10.0,10.0,8.5,4,1,10,10,10,10,10,8,8,8,9,10,27B,27B,27B,27B
27A,20,2,"2,5",27,9.0,9.0,7.0,3,7,27E,8.25,7.75,8.25,2,2,7,6,4,2,2,7,6,3,7,7,27B,27B,27B,27B
27A,20,2,"2,5",27,9.0,9.0,7.0,3,7,27C,8.5,7.75,8.5,4,2,8,7,5,7,7,7,7,6,6,9,27B,27B,27B,27B
27A,20,2,"2,5",27,9.0,9.0,7.0,3,7,27D,9.0,10.0,7.75,4,2,9,9,7,7,7,9,9,7,10,10,27B,27B,27B,27B
30E,25,2,2,30,9.75,6.5,6.25,6,7,30A,8.5,7.75,7.5,3,3,8,6,6,8,3,6,6,4,7,8,30B,30B,30A,30A
30E,25,2,2,30,9.75,6.5,6.25,6,7,30B,7.75,6.25,9.5,4,1,9,8,6,10,8,7,7,8,6,10,30B,30B,30A,30A
30E,25,2,2,30,9.75,6.5,6.25,6,7,30C,9.0,7.75,7.25,2,6,8,7,7,3,3,6,1,4,8,10,30B,30B,30A,30A
30E,25,2,2,30,9.75,6.5,6.25,6,7,30D,5.5,8.0,5.0,4,6,3,0,2,0,0,1,3,1,7,5,30B,30B,30A,30A
25E,22,1,"4,5",25,9.5,9.0,6.5,10,8,25D,8.0,6.0,8.5,4,4,8,4,4,4,2,5,3,3,7,7,25B,25B,25A,25C
25E,22,1,"4,5",25,9.5,9.0,6.5,10,8,25C,6.25,9.0,4.0,4,3,7,5,5,6,5,6,5,5,8,8,25B,25B,25A,25C
25E,22,1,"4,5",25,9.5,9.0,6.5,10,8,25B,8.5,8.0,7.0,4,3,9,9,8,9,9,9,8,8,8,8,25B,25B,25A,25C
25E,22,1,"4,5",25,9.5,9.0,6.5,10,8,25A,6.5,7.5,8.0,4,4,7,4,4,3,2,6,3,4,8,8,25B,25B,25A,25C
25D,20,2,2,25,9.75,4.0,8.5,4,7,25A,10.0,5.0,10.0,4,4,10,5,5,4,4,8,2,5,8,8,25C,25C,25B,25C
25D,20,2,2,25,9.75,4.0,8.5,4,7,25C,10.0,10.0,10.0,4,2,10,10,10,10,10,10,10,10,10,10,25C,25C,25B,25C
25D,20,2,2,25,9.75,4.0,8.5,4,7,25B,10.0,10.0,10.0,4,2,10,8,8,10,10,10,8,8,10,10,25C,25C,25B,25C
25D,20,2,2,25,9.75,4.0,8.5,4,7,25E,7.0,5.0,9.0,4,3,10,5,5,5,5,8,5,5,10,10,25C,25C,25B,25C
32D,25,2,2,32,7.5,7.75,7.5,8,9,32A,9.75,9.5,8.25,4,2,10,8,7,10,10,8,7,7,10,10,32A,32E,32A,32B
32D,25,2,2,32,7.5,7.75,7.5,8,9,32E,7.25,9.5,9.75,4,2,10,9,8,10,7,9,8,8,8,10,32A,32E,32A,32B
32D,25,2,2,32,7.5,7.75,7.5,8,9,32B,8.25,8.5,8.5,4,2,10,7,6,8,7,8,8,7,9,10,32A,32E,32A,32B
32D,25,2,2,32,7.5,7.75,7.5,8,9,32C,9.0,7.75,9.5,4,3,10,6,5,7,4,7,7,7,10,10,32A,32E,32A,32B
32A,25,2,2,32,10.0,7.25,8.5,6,9,32B,9.75,7.25,9.75,4,2,10,7,6,7,7,10,7,6,7,10,32B,32B,32B,32B
32A,25,2,2,32,10.0,7.25,8.5,6,9,32C,9.75,7.0,10.0,4,2,10,5,5,5,5,10,5,5,7,10,32B,32B,32B,32B
32A,25,2,2,32,10.0,7.25,8.5,6,9,32D,9.75,7.75,9.75,4,2,10,7,5,6,8,9,7,5,8,10,32B,32B,32B,32B
32A,25,2,2,32,10.0,7.25,8.5,6,9,32E,9.75,6.5,9.75,4,2,10,8,5,5,6,10,8,5,7,10,32B,32B,32B,32B
32C,25,2,2,32,8.25,5.25,7.5,8,8,32A,9.0,8.5,9.0,4,2,10,8,8,7,5,8,7,7,9,9,32B,32B,32B,32B
32C,25,2,2,32,8.25,5.25,7.5,8,8,32B,9.0,9.25,8.75,4,1,9,8,6,8,5,9,9,8,9,9,32B,32B,32B,32B
32C,25,2,2,32,8.25,5.25,7.5,8,8,32D,9.0,8.0,9.0,4,2,9,8,7,7,5,9,9,9,9,9,32B,32B,32B,32B
32C,25,2,2,32,8.25,5.25,7.5,8,8,32E,9.0,9.0,9.0,4,2,9,7,8,7,5,9,9,9,9,9,32B,32B,32B,32B
