group,participant,num_utterances,num_words,positivity,first,second,firstplural
10,GM,30,724,0.062,10,55,5
10,10A,57,295,0.107,11,3,6
10,10B,80,454,0.115,14,9,14
10,10C,59,226,0.113,3,4,1
10,10D,78,569,0.108,24,6,5
10,10E,206,1236,0.133,54,22,32
11,GM,24,544,0.126,6,44,3
11,11A,466,3403,0.197,187,102,61
11,11B,47,318,0.13,13,5,3
11,11C,34,172,0.115,23,2,1
11,11D,89,443,0.1,23,9,12
11,11E,242,1207,0.095,49,56,17
12,GM,16,226,0.146,6,22,2
12,12A,106,529,0.2,33,9,10
12,12B,240,1778,0.168,76,30,57
12,12C,182,1450,0.184,68,24,32
12,12D,52,232,0.16,14,7,2
12,12E,81,483,0.189,31,12,8
13,GM,0,0,0.0,0,0,0
13,GM2,16,238,0.189,10,17,2
13,13A,170,1537,0.156,107,23,37
13,13B,85,689,0.189,31,19,13
13,13C,88,692,0.095,43,12,24
13,13D,157,1309,0.174,76,17,27
13,13E,113,1179,0.116,63,22,42
14,GM,15,281,0.194,13,25,0
14,14A,192,1089,0.179,44,18,18
14,14B,117,791,0.136,32,9,15
14,14C,139,1130,0.165,55,13,45
14,14D,102,749,0.171,38,13,20
14,14E,174,1302,0.217,61,21,35
15,GM,16,445,0.163,16,21,8
15,GM2,1,19,0.274,1,1,0
15,15A,267,2665,0.174,84,31,114
15,15B,143,784,0.21,41,17,15
15,15C,110,839,0.199,54,6,14
15,15D,52,298,0.276,12,1,3
15,15E,44,264,0.146,13,4,4
16,GM,0,0,0.0,0,0,0
16,GM2,7,146,0.124,13,6,0
16,16A,161,1463,0.144,37,31,31
16,16B,109,502,0.242,23,9,4
16,16C,47,220,0.255,13,3,6
16,16D,84,622,0.148,20,22,10
16,16E,105,658,0.144,16,17,15
17,GM,35,716,0.103,10,57,4
17,17A,194,983,0.242,74,24,21
17,17B,313,2792,0.195,111,60,62
17,17C,256,1715,0.18,83,37,35
17,17D,128,854,0.151,52,32,11
17,17E,277,2239,0.144,65,39,43
18,GM,0,0,0.0,0,0,0
18,GM2,15,241,0.182,15,14,1
18,18A,167,954,0.187,44,18,8
18,18B,170,1257,0.225,50,18,14
18,18C,94,529,0.208,21,17,6
18,18D,123,697,0.16,39,18,14
18,18E,153,991,0.179,56,11,14
19,GM,0,0,0.0,0,0,0
19,GM2,16,227,0.196,16,9,4
19,19A,174,877,0.231,35,32,13
19,19B,198,1403,0.187,60,38,32
19,19C,227,1549,0.147,75,37,32
19,19D,121,760,0.131,40,21,24
21,GM,0,0,0.0,0,0,0
21,GM2,20,254,0.128,9,15,0
21,21A,161,1086,0.113,40,18,34
21,21B,394,3891,0.129,123,95,121
21,21C,180,845,0.242,23,16,16
22,GM,24,415,0.13,8,31,4
22,22A,239,1342,0.205,46,31,46
22,22B,142,847,0.209,58,24,17
22,22C,23,157,0.125,7,8,0
22,22D,98,632,0.123,12,36,13
22,22E,189,1167,0.14,56,31,22
23,GM,0,0,0.0,0,0,0
23,GM2,19,268,0.154,10,19,0
23,23A,106,882,0.161,61,22,19
23,23B,183,1483,0.172,67,22,30
23,23C,194,1232,0.185,65,16,25
23,23D,169,970,0.114,59,15,15
23,23E,201,1510,0.117,74,36,24
27,GM,0,0,0.0,0,0,0
27,GM2,12,195,0.206,9,10,2
27,27A,168,1712,0.196,118,44,39
27,27B,73,475,0.213,16,8,14
27,27D,176,1572,0.152,92,36,58
27,27E,118,814,0.139,30,17,18
28,GM,14,217,0.141,6,20,2
28,28A,203,1368,0.201,51,13,50
28,28B,109,676,0.129,34,16,20
28,28C,172,964,0.197,26,10,28
28,28D,191,1467,0.211,46,35,28
29,GM,0,0,0.0,0,0,0
29,GM2,47,580,0.131,18,38,1
29,29A,244,1169,0.105,86,21,17
29,29B,131,802,0.152,37,10,14
29,29C,319,2622,0.159,145,40,68
29,29E,206,1171,0.138,58,19,44
2,GM,13,320,0.159,6,20,1
2,02A,67,643,0.148,26,10,10
2,02B,156,1813,0.146,59,26,42
2,02C,177,1504,0.168,80,22,35
2,02D,64,361,0.108,17,6,12
2,02E,132,1056,0.176,81,12,17
30,GM,20,432,0.088,9,35,2
30,30A,233,1829,0.122,82,32,31
30,30B,45,278,0.046,10,12,2
30,30C,31,172,0.191,9,4,2
30,30D,93,621,0.162,30,5,11
30,30E,82,635,0.104,11,10,10
31,GM,18,354,0.108,5,34,1
31,31A,161,888,0.178,49,13,19
31,31B,14,81,0.192,6,1,3
31,31C,302,2416,0.212,102,50,42
31,31D,57,516,0.164,23,14,12
31,31E,20,147,0.112,8,6,2
32,GM,13,275,0.084,6,22,4
32,32A,299,2348,0.173,120,44,50
32,32B,115,458,0.173,19,5,13
32,32C,113,598,0.12,20,13,17
32,32D,144,739,0.132,21,21,13
32,32E,173,927,0.136,46,10,22
34,GM,18,365,0.141,12,26,6
34,34A,250,2113,0.193,118,51,66
34,34B,292,2594,0.205,94,70,78
34,34C,49,330,0.081,18,9,7
34,34D,130,827,0.157,37,22,21
35,GM,0,0,0.0,0,0,0
35,GM2,23,388,0.228,8,19,2
35,35A,78,408,0.101,38,13,3
35,35B,187,1560,0.161,75,33,39
35,35C,111,621,0.187,25,14,22
35,35D,182,1152,0.169,53,25,27
35,35E,83,341,0.144,26,8,5
36,GM,8,126,0.173,4,13,1
36,36A,165,1198,0.194,49,33,32
36,36B,77,561,0.179,29,6,10
36,36C,170,1359,0.203,31,28,28
36,36D,166,900,0.297,48,10,46
3,GM,63,924,0.066,17,72,5
3,03A,253,2031,0.116,86,61,47
3,03B,259,1791,0.121,114,53,29
3,03C,168,954,0.141,78,20,18
3,03D,172,1055,0.102,53,27,19
3,03E,214,1287,0.081,88,33,18
4,GM,0,0,0.0,0,0,0
4,GM2,13,239,0.148,11,19,0
4,04A,116,830,0.111,18,24,16
4,04B,176,1547,0.235,64,45,26
4,04C,186,1515,0.165,58,33,39
4,04D,98,586,0.13,24,14,5
4,04E,66,476,0.209,20,3,10
5,GM,10,236,0.231,7,16,2
5,05A,57,267,0.166,13,6,4
5,05B,23,108,0.158,0,4,2
5,05C,19,176,0.079,8,5,2
5,05D,63,501,0.125,12,11,12
5,05E,40,320,0.216,18,7,7
6,GM,22,365,0.124,8,26,2
6,06A,165,1187,0.109,56,17,14
6,06B,157,1036,0.159,50,28,12
6,06C,111,807,0.092,23,28,7
6,06D,80,369,0.127,21,5,2
6,06E,111,1059,0.181,44,40,17
9,GM,25,526,0.106,14,39,3
9,09A,139,802,0.143,40,12,19
9,09B,25,193,0.181,11,2,2
9,09C,78,593,0.137,26,20,9
9,09D,53,352,0.129,22,3,1
9,09E,68,450,0.083,22,16,13
